# Complex Numerical Function
# Thu Oct 23 16:11:28 2014
  0.4470000E+02  0.3418464E-02  0.9678722E-10
  0.4480000E+02  0.3450737E-02  0.9772855E-10
  0.4490000E+02  0.3482918E-02  0.9778475E-10
  0.4500000E+02  0.3515002E-02  0.9912303E-10
  0.4510000E+02  0.3546985E-02  0.9858082E-10
  0.4520000E+02  0.3578862E-02  0.1001710E-09
  0.4530000E+02  0.3610628E-02  0.9966301E-10
  0.4540000E+02  0.3642278E-02  0.1013243E-09
  0.4550000E+02  0.3673807E-02  0.1013022E-09
  0.4560000E+02  0.3705211E-02  0.1023660E-09
  0.4570000E+02  0.3736484E-02  0.1028454E-09
  0.4580000E+02  0.3767621E-02  0.1029005E-09
  0.4590000E+02  0.3798616E-02  0.1041539E-09
  0.4600000E+02  0.3829465E-02  0.1036072E-09
  0.4610000E+02  0.3860160E-02  0.1057549E-09
  0.4620000E+02  0.3890698E-02  0.1049292E-09
  0.4630000E+02  0.3921072E-02  0.1071875E-09
  0.4640000E+02  0.3951276E-02  0.1061925E-09
  0.4650000E+02  0.3981305E-02  0.1078319E-09
  0.4660000E+02  0.4011152E-02  0.1074368E-09
  0.4670000E+02  0.4040812E-02  0.1084524E-09
  0.4680000E+02  0.4070278E-02  0.1093430E-09
  0.4690000E+02  0.4099545E-02  0.1094779E-09
  0.4700000E+02  0.4128605E-02  0.1112432E-09
  0.4710000E+02  0.4157454E-02  0.1101890E-09
  0.4720000E+02  0.4186084E-02  0.1123628E-09
  0.4730000E+02  0.4214489E-02  0.1109161E-09
  0.4740000E+02  0.4242664E-02  0.1134627E-09
  0.4750000E+02  0.4270601E-02  0.1125789E-09
  0.4760000E+02  0.4298294E-02  0.1147208E-09
  0.4770000E+02  0.4325738E-02  0.1144261E-09
  0.4780000E+02  0.4352926E-02  0.1152276E-09
  0.4790000E+02  0.4379851E-02  0.1157621E-09
  0.4800000E+02  0.4406507E-02  0.1155735E-09
  0.4810000E+02  0.4432888E-02  0.1174479E-09
  0.4820000E+02  0.4458988E-02  0.1167940E-09
  0.4830000E+02  0.4484801E-02  0.1192663E-09
  0.4840000E+02  0.4510320E-02  0.1180373E-09
